"","baseMean","log2FoldChange","lfcSE","pvalue","padj","change"
"AADAC",1.3664497210205,2.73311774660329,0.628318371202589,0.00189885753464992,0.00339294018967603,"up"
"AADACL4",3.51652166128832,-3.87963964663801,0.290188059658646,4.20615032043404e-42,7.18594397370704e-41,"down"
"ABAT",3999.06400174194,-4.22500423864299,0.184048189532503,2.29811895879285e-117,4.31564500600405e-115,"down"
"ABCA12",154.531384638347,3.85618284121968,0.237995668512449,2.32544589591843e-60,7.82519264918446e-59,"up"
"ABCA17P",61.723252099346,2.85775087208557,0.23683686342165,1.38682382559272e-34,1.70865500543662e-33,"up"
"ABCA4",87.9195860046805,-3.25478206438524,0.244107883676488,2.69332114089344e-41,4.42914379144383e-40,"down"
"ABCA8",370.616494277613,-2.61226401419212,0.202885929165544,1.35745292009721e-38,2.00696182205611e-37,"down"
"ABCB1",2193.34743848205,-2.17870412735333,0.190512606232322,6.61768059201029e-31,6.84277576667636e-30,"down"
"ABCB10P3",0.859015949772087,3.20591820419185,0.7759804821787,4.74533063815725e-06,1.1250231036462e-05,"up"
"ABCB10P4",1.04733631146999,2.41535401614991,0.543153995832222,8.20790185261062e-07,2.08428792300863e-06,"up"
"ABCB5",11.8660184497498,7.03859705953503,0.401643899525874,1.92219386682815e-07,5.16503650853454e-07,"up"
"ABCC3",3735.26397052052,2.81579774661181,0.161313983434977,6.78914696185122e-69,3.2395917244604e-67,"up"
"ABCG1",1401.51104447011,2.32381430329827,0.114566840181566,7.84527524149521e-92,7.45653384789622e-90,"up"
"ACAA1",5939.14520806672,-2.86795381557758,0.11183029672165,2.85847190274003e-146,9.37498263763441e-144,"down"
"ACADM",6101.49141783195,-2.14976404608967,0.172964503293972,2.18053448899489e-36,2.89816929855793e-35,"down"
"ACADSB",4020.33994416993,-2.89930671933808,0.127213993935032,1.17962977520228e-115,2.12936891049304e-113,"down"
"ACAN",656.095407594124,3.7381632372091,0.280010317007845,5.62769350776103e-42,9.5654358410017e-41,"up"
"ACAT1",13814.6467705024,-2.4101617971908,0.163715243512757,9.16584658734479e-50,2.10905043115524e-48,"down"
"ACCSL",0.510840261632255,2.16596379661559,0.782396073533541,0.0063805750893402,0.0106233427377646,"up"
"ACKR3",1666.32067022905,2.7466469697107,0.173053635297798,9.45445594173827e-58,2.85546642100282e-56,"up"
"ACOT1",930.83757116998,-2.02627124262998,0.145750268804657,1.64954787218781e-44,3.10520386028823e-43,"down"
"ACOT11",572.095797227223,-2.4348783428585,0.141328958817686,3.30840342200214e-67,1.50174429015091e-65,"down"
"ACOT12",61.2129756649885,-7.23254690720698,0.230558753084411,1.39091325492323e-216,1.5423240978163e-213,"down"
"ACOT6",34.1885969040323,-3.64247462875174,0.231660013050925,1.74440655921406e-56,5.03348836900355e-55,"down"
"ACOX2",1589.64702646233,-3.16511148342155,0.159806562813226,5.16630013153838e-88,4.34304927303259e-86,"down"
"ACP3",470.03909950342,-4.98866911088859,0.213813014149634,5.21509771708554e-157,2.29129746113309e-154,"down"
"ACP4",1.78974679850502,2.02264606872321,0.406340177641556,9.6003336025928e-08,2.64341218245212e-07,"up"
