"","baseMean","log2FoldChange","lfcSE","pvalue","padj","change"
"A1BG",59.7568771155771,0.925476009088388,0.170899033631506,3.432272574541e-08,9.81022452077597e-08,"stable"
"A1CF",348.393112541304,-1.0899103009254,0.216667058483705,2.66730433416699e-07,7.07332293877833e-07,"stable"
"A2M",35256.9159942478,0.948893763626736,0.140732922405581,8.76509873236893e-12,3.26775678965647e-11,"stable"
"A3GALT2",1.51423927769068,1.75007901450325,0.408057242236509,0.00127539117556343,0.00232512009036013,"stable"
"A4GALT",1334.26051443445,0.649507017278267,0.104733178147271,4.31914084478464e-10,1.42761552465089e-09,"stable"
"A4GNT",21.9400716220934,1.07213252428458,0.296775538849961,0.000144417055896683,0.0002942423277286,"stable"
"AAAS",1435.4478511787,0.320437621304136,0.0980018585583246,0.00101459428761414,0.00187076115142789,"stable"
"AACS",745.347637012466,-0.479676711997657,0.08535509102099,1.51663937099544e-08,4.4642225247124e-08,"stable"
"AADAC",1.3664497210205,2.73311774660329,0.628318371202589,0.00189885753464992,0.00339294018967603,"up"
"AADACL4",3.51652166128832,-3.87963964663801,0.290188059658646,4.20615032043404e-42,7.18594397370704e-41,"down"
"AADAT",174.387644621226,-1.0795464548537,0.113344251560655,8.59512052326933e-22,5.79797150941047e-21,"stable"
"AAGAB",1290.1307437723,-1.19357210374338,0.0965430741805619,2.0477037256686e-35,2.61132688696162e-34,"stable"
"AAK1",157.432841008548,0.143617748129995,0.17329556080215,0.0289006697511304,0.0432451481702109,"stable"
"AANAT",8.33801905863352,1.5718276020565,0.299395307434374,3.0375654996719e-08,8.70771269547702e-08,"stable"
"AARD",47.3811707272199,-1.30973223921989,0.298728173764615,5.06758798009457e-06,1.19788705415168e-05,"stable"
"AARS1",4177.94999327626,-0.388177271889877,0.0891529128869985,1.17164197925151e-05,2.67452750993537e-05,"stable"
"AARS2",587.003696038478,0.456664028867065,0.0600940981806514,2.65740004064546e-14,1.16054421129914e-13,"stable"
"AARSD1P1",25.7837647264851,0.633818889537753,0.149603506170497,1.73163282137553e-05,3.89592288681648e-05,"stable"
"AASDH",423.903524219779,-0.599561325590005,0.093448889775012,1.13574164738276e-10,3.91761993736583e-10,"stable"
"AASDHPPT",1586.67356731171,-0.393985951223873,0.101272909759962,9.16071880622154e-05,0.00019063136561365,"stable"
"AASS",398.341529204325,-1.45554709901238,0.158423313455076,1.63407883779414e-20,1.02260574622075e-19,"stable"
"AATBC",17.9487367024617,1.11876513328007,0.210363690079367,4.85504791745987e-08,1.37368949946501e-07,"stable"
"AATK",73.6253532385687,1.22261831838509,0.160397192510872,1.02835399233357e-14,4.62193612535792e-14,"stable"
"ABAT",3999.06400174194,-4.22500423864299,0.184048189532503,2.29811895879285e-117,4.31564500600405e-115,"down"
"ABCA1",2290.81295367986,1.44911074279276,0.124546408033382,1.01088028079815e-31,1.08626480012301e-30,"stable"
"ABCA12",154.531384638347,3.85618284121968,0.237995668512449,2.32544589591843e-60,7.82519264918446e-59,"up"
"ABCA13",12.9734115527858,-1.37178150061016,0.385477333782076,0.000145738322591605,0.000296674760019943,"stable"
"ABCA17P",61.723252099346,2.85775087208557,0.23683686342165,1.38682382559272e-34,1.70865500543662e-33,"up"
"ABCA2",1182.92630770807,0.562462622206113,0.144344338862516,0.000105849009508401,0.000218646326214195,"stable"
"ABCA3",1182.65151031685,1.49402906571812,0.147646556134816,1.29809202245234e-24,1.00223378099553e-23,"stable"
"ABCA4",87.9195860046805,-3.25478206438524,0.244107883676488,2.69332114089344e-41,4.42914379144383e-40,"down"
"ABCA5",1193.13141647676,-0.305612207509545,0.110273988957768,0.00527132802628462,0.00887768016943232,"stable"
"ABCA6",133.546064422703,-1.36733064366525,0.206205981046938,1.43007001073054e-11,5.2508057820674e-11,"stable"
"ABCA7",311.80785734753,0.717716771371529,0.183757183310783,7.01755029261774e-05,0.000147816079705017,"stable"
"ABCA8",370.616494277613,-2.61226401419212,0.202885929165544,1.35745292009721e-38,2.00696182205611e-37,"down"
"ABCA9",107.122772043983,-0.884433378396373,0.232413580130791,9.14196140955721e-05,0.000190302069939543,"stable"
"ABCB1",2193.34743848205,-2.17870412735333,0.190512606232322,6.61768059201029e-31,6.84277576667636e-30,"down"
"ABCB10P3",0.859015949772087,3.20591820419185,0.7759804821787,4.74533063815725e-06,1.1250231036462e-05,"up"
"ABCB10P4",1.04733631146999,2.41535401614991,0.543153995832222,8.20790185261062e-07,2.08428792300863e-06,"up"
"ABCB11",0.632647948671818,1.45670176773696,0.521053319408565,0.00281243119367104,0.00491410465789929,"stable"
"ABCB4",152.557399615848,1.43386163749278,0.219533035667267,1.96676369538409e-11,7.15036056373364e-11,"stable"
"ABCB5",11.8660184497498,7.03859705953503,0.401643899525874,1.92219386682815e-07,5.16503650853454e-07,"up"
"ABCB6",291.358691727031,1.3905287959159,0.11614887374027,1.47146925626352e-33,1.72704803938268e-32,"stable"
"ABCB8",831.665233565747,-0.580178738849096,0.10737069837438,5.31990812234237e-08,1.50138626271803e-07,"stable"
"ABCC1",1738.76136789237,1.93080364549656,0.158056788063724,1.24600467507534e-34,1.54168251136049e-33,"stable"
"ABCC10",417.801721513245,0.445623395749599,0.1263597250028,0.000374179695104538,0.000725551534699332,"stable"
"ABCC11",10.4754106098036,-0.939034267721698,0.292078175992933,0.000792732745698383,0.001480081359552,"stable"
"ABCC2",1324.33527433931,-1.03700469271682,0.20646205168158,2.7801052972963e-07,7.35988312333351e-07,"stable"
"ABCC3",3735.26397052052,2.81579774661181,0.161313983434977,6.78914696185122e-69,3.2395917244604e-67,"up"
"ABCC4",1936.6253452071,-0.324445188481742,0.137982196033775,0.0175058313887511,0.0271978108966146,"stable"
"ABCC6",1563.38840742396,-1.50294262602417,0.182334003024609,6.4610672572173e-17,3.29001557296221e-16,"stable"
"ABCC9",967.858461948879,0.731647027188208,0.117421795123548,3.41895307308657e-10,1.1405980123194e-09,"stable"
"ABCD1",490.816925874854,1.302634134729,0.115459135227362,5.80445978617292e-30,5.72238148098317e-29,"stable"
"ABCD2",59.7944641488098,-0.657493297892174,0.173020338711604,0.000113709802509319,0.000234053430675507,"stable"
"ABCD3",2810.03347517118,-1.36340604321837,0.11090881109238,4.33775491437997e-35,5.45404756675226e-34,"stable"
"ABCD4",1957.60392349412,-0.268211660880363,0.082561841825402,0.00110296585749685,0.00202632449370191,"stable"
"ABCF1",1956.54065469128,-0.489291482371262,0.0728968282224237,1.54299659959761e-11,5.65029388555276e-11,"stable"
"ABCF2",1359.28943008281,-0.17087801259633,0.0644019302945305,0.00780308332622268,0.0128438961146831,"stable"
"ABCF3",1903.45955711691,-0.188545790051938,0.0722715282024884,0.0133569428606442,0.0210967761956835,"stable"
"ABCG1",1401.51104447011,2.32381430329827,0.114566840181566,7.84527524149521e-92,7.45653384789622e-90,"up"
"ABCG2",567.249297331256,0.958993930080826,0.196103533905912,5.49911923755495e-07,1.41745063721169e-06,"stable"
"ABCG4",14.56033169835,0.749785256528071,0.219929320041514,0.000459988931337175,0.000881371040493495,"stable"
"ABCG8",6.73933865087344,-1.35285655362601,0.387389675554195,0.000199640740000293,0.000399796548989234,"stable"
"ABHD1",66.1959989802592,0.631774026349228,0.154172866673407,3.18394254847841e-05,6.96227685077173e-05,"stable"
"ABHD10",2397.7031403849,-1.04920234531691,0.0900137756290412,1.04197104620527e-31,1.11864166813905e-30,"stable"
"ABHD11",1051.9602182846,0.386900368449226,0.152714639587378,0.0102863456422211,0.0166408117705127,"stable"
"ABHD12",2894.36552254615,0.409352687629307,0.0968129950613634,2.13496007530833e-05,4.76376775715119e-05,"stable"
"ABHD13",595.580938709808,-0.30293074726687,0.114440254032748,0.00751071481296702,0.0123862963976452,"stable"
"ABHD14A",756.340235090974,-1.27647924768133,0.152083917136419,2.08136262707222e-17,1.09454855767849e-16,"stable"
"ABHD14A-ACY1",14.2795484907382,-1.95100869849965,0.226347387827448,1.63376971793829e-18,9.15839230907822e-18,"stable"
"ABHD14B",3909.84494880949,-1.05124907114024,0.11151557197628,2.1332779503274e-21,1.40524781757635e-20,"stable"
"ABHD15",817.584509673658,-0.394931778092025,0.0831839100028904,1.86029360025808e-06,4.57142220088747e-06,"stable"
"ABHD16B",141.144998017447,1.34024348991448,0.208405126546003,4.09605851279625e-11,1.45708552595438e-10,"stable"
"ABHD17A",490.049398014544,0.468451399492879,0.0840149829575221,3.32922092948318e-08,9.5250323828413e-08,"stable"
"ABHD17B",545.527566836022,-0.789457275481123,0.108032141115599,1.94196171452742e-13,8.06788947091624e-13,"stable"
"ABHD17C",349.917001403072,-1.97735864053172,0.106550281451192,2.06170020021696e-77,1.25349218961494e-75,"stable"
"ABHD18",395.667975253028,-0.243995490298628,0.0880909228408361,0.00538489923405424,0.00905559063798563,"stable"
"ABHD3",383.133144763569,-0.827854061950954,0.0851481446281331,2.20474463277671e-22,1.53390150937671e-21,"stable"
"ABHD4",1323.74816076926,-0.340814332848333,0.0820805950795557,2.9624403010428e-05,6.49867026378545e-05,"stable"
"ABHD5",364.312910232947,-1.2405197787328,0.101107165955891,6.44849147508148e-35,8.04713678932194e-34,"stable"
"ABHD6",1419.53423936673,-1.17490116700926,0.120424169516019,8.74393340852395e-23,6.20765955338076e-22,"stable"
"ABHD8",285.715943257443,-0.24680938831236,0.10520873246588,0.0182022536482397,0.02820828420424,"stable"
"ABI1",1677.62912284393,-0.184072753330946,0.0735147737586241,0.0120196056837879,0.0191232944761331,"stable"
"ABI2",1814.66184528559,-0.334462569792868,0.0629232641988173,9.28181806384701e-08,2.56025130815851e-07,"stable"
"ABI3",697.426394925846,1.64258297760484,0.120421698814803,9.31820409282118e-43,1.64651913206497e-41,"stable"
"ABI3BP",1739.27778551604,1.75146881802819,0.176323165578571,1.41607000351957e-23,1.04086509160217e-22,"stable"
"ABITRAM",549.285358749123,-0.263733608116934,0.0728078602334637,0.000280980063987952,0.000552283427874015,"stable"
"ABL1",1804.81052993739,0.22689347051195,0.0969673988704704,0.0187616698449578,0.0289999498181008,"stable"
"ABL2",835.509382331318,1.08020427028423,0.0869442244222442,9.33073244061748e-36,1.2057460355839e-34,"stable"
"ABLIM1",4410.723413538,-0.64878137446359,0.0846174956590866,1.38403993413239e-14,6.16818256578123e-14,"stable"
"ABLIM3",3097.69225195922,1.51257785486012,0.130499539269567,1.2620465363105e-31,1.3517946478623e-30,"stable"
"ABO",94.4077998820892,-0.554799530303535,0.262676639440221,0.0285681331817193,0.0427915572667899,"stable"
"ABRACL",731.367618416614,-0.888382190174621,0.127140310483368,1.85088251118591e-12,7.22663483492204e-12,"stable"
"ABRAXAS2",706.046963267693,-0.281832631587532,0.067263396383097,2.64590564420665e-05,5.83728648327769e-05,"stable"
"ABT1",712.902022861438,0.380686381317326,0.068346369014216,2.38292488974723e-08,6.89130513942549e-08,"stable"
"ABTB1",1277.09473020532,0.24526016943239,0.089418851685024,0.00593195729218101,0.00992324407368729,"stable"
"ABTB2",390.963288324582,-1.11856817056158,0.189425299187174,1.87686054129049e-09,5.92604400874446e-09,"stable"
"ABTB3",209.081666533643,-0.742679778501482,0.268952346504671,2.13734415114182e-07,5.71611300143429e-07,"stable"
"ACAA1",5939.14520806672,-2.86795381557758,0.11183029672165,2.85847190274003e-146,9.37498263763441e-144,"down"
"ACAA2",13670.5452839309,-1.11892442267272,0.143978167281802,2.47684021167178e-15,1.14846079587792e-14,"stable"
"ACACB",1478.74372831516,-0.419457078983649,0.134715670110478,0.00164394315560892,0.00295856405607151,"stable"
"ACAD10",1636.47892184394,-1.0796345128151,0.10697374764974,3.30991200649027e-24,2.4999873818726e-23,"stable"
"ACAD8",1203.96165861631,-1.70026732419847,0.079472377029764,5.02239022324721e-102,6.18790363695949e-100,"stable"
"ACADL",1546.59134666668,0.47649761436729,0.163297834653441,0.00306747626396581,0.00533452220184525,"stable"
"ACADM",6101.49141783195,-2.14976404608967,0.172964503293972,2.18053448899489e-36,2.89816929855793e-35,"down"
"ACADS",1706.95945360422,-0.448125658570677,0.104059760215487,1.46391231958589e-05,3.31537271677465e-05,"stable"
"ACADSB",4020.33994416993,-2.89930671933808,0.127213993935032,1.17962977520228e-115,2.12936891049304e-113,"down"
"ACAN",656.095407594124,3.7381632372091,0.280010317007845,5.62769350776103e-42,9.5654358410017e-41,"up"
"ACAP1",399.18172968337,1.53506429861187,0.169077561245536,2.92432157480191e-20,1.80481717972004e-19,"stable"
"ACAP2",1202.34992651377,0.37775965614223,0.105909253240061,0.000337640172981113,0.000658097352309215,"stable"
"ACAP3",677.228422201825,0.495676621400545,0.12237311601839,4.38751300418789e-05,9.44160685847142e-05,"stable"
"ACAT1",13814.6467705024,-2.4101617971908,0.163715243512757,9.16584658734479e-50,2.10905043115524e-48,"down"
"ACAT2",618.362688668229,-1.00679602739279,0.110303992550269,4.17204890855464e-20,2.55995601803962e-19,"stable"
"ACBD5",1790.13042816019,-0.774930837829447,0.0971376152626825,1.07036411195627e-15,5.07627264990094e-15,"stable"
"ACBD6",160.473798423165,0.632181511906313,0.176557788858838,0.000262828484300843,0.000518311660351409,"stable"
"ACBD7",5.07516878241286,-1.17935907817653,0.203085774806039,3.48158541714635e-09,1.0752280904996e-08,"stable"
"ACCS",886.362566923299,0.749782965303016,0.138279075763694,4.08373286595823e-08,1.16109650203545e-07,"stable"
"ACCSL",0.510840261632255,2.16596379661559,0.782396073533541,0.0063805750893402,0.0106233427377646,"up"
"ACD",594.720051351469,0.96367890977163,0.119322803552782,3.619352255833e-16,1.76097443855677e-15,"stable"
"ACE2",4071.87797181355,-1.31809581430143,0.260237689630824,1.70219657539054e-07,4.59297212683015e-07,"stable"
"ACE2-DT",1.19851427999022,-1.75366996443515,0.382467887364383,1.58283026498358e-06,3.91271608815368e-06,"stable"
"ACER2",52.2805904377835,0.750546749078868,0.20968290285272,0.000238683366592578,0.000473140450708672,"stable"
"ACHE",79.1750699554912,1.63007105407834,0.223673845457695,7.86477609164655e-14,3.34561885403876e-13,"stable"
"ACIN1",3748.02325553055,0.599499065063905,0.104045501711866,7.23012593725223e-09,2.17548407513704e-08,"stable"
"ACKR1",444.733374764613,1.80520905748684,0.278458259293463,1.18582392956342e-07,3.24440089576004e-07,"stable"
"ACKR2",36.6519677130259,-1.69754974800016,0.175106787444537,9.95652723246594e-23,7.05347408382117e-22,"stable"
"ACKR3",1666.32067022905,2.7466469697107,0.173053635297798,9.45445594173827e-58,2.85546642100282e-56,"up"
"ACKR4",122.499253574764,1.19911906079659,0.205353518496295,2.0737398703027e-09,6.52996708855562e-09,"stable"
"ACLY",8296.33796018441,1.29480492259877,0.108295717793062,2.68125333788162e-33,3.112445923525e-32,"stable"
"ACMSD",3875.75096693357,-1.57481066654848,0.191644354788923,7.35247879392864e-17,3.73331489741435e-16,"stable"
"ACO1",4392.95699781317,-1.91107373011133,0.166567756693449,5.1960347992309e-31,5.4088004619978e-30,"stable"
"ACO2",5596.4238961745,-1.19759424102655,0.145192860155072,7.47645444450103e-17,3.79378335573439e-16,"stable"
"ACOT1",930.83757116998,-2.02627124262998,0.145750268804657,1.64954787218781e-44,3.10520386028823e-43,"down"
"ACOT11",572.095797227223,-2.4348783428585,0.141328958817686,3.30840342200214e-67,1.50174429015091e-65,"down"
"ACOT12",61.2129756649885,-7.23254690720698,0.230558753084411,1.39091325492323e-216,1.5423240978163e-213,"down"
"ACOT13",2364.25282872002,-1.4344916109692,0.107012761165038,2.13013498009176e-41,3.51540206565675e-40,"stable"
"ACOT2",1289.12719082205,-1.83860449555783,0.130947077543011,2.64383925709577e-45,5.11757613804922e-44,"stable"
"ACOT4",473.088665839482,-1.19604958975396,0.189963249181112,1.51577924784329e-10,5.18912607546001e-10,"stable"
"ACOT6",34.1885969040323,-3.64247462875174,0.231660013050925,1.74440655921406e-56,5.03348836900355e-55,"down"
"ACOT7",2744.8726028397,-1.12635038028967,0.16624386928217,6.44203764711657e-12,2.42380495477066e-11,"stable"
"ACOT8",725.487672359459,-0.742432207775802,0.079036518394536,6.95327042092678e-21,4.44940519433089e-20,"stable"
"ACOT9",878.580832421636,0.173572044961699,0.077719683993277,0.0221934284255666,0.0339038361423436,"stable"
"ACOX1",2601.30420313922,-1.434639703518,0.0834895862827004,7.43646374468873e-67,3.30468501448133e-65,"stable"
"ACOX2",1589.64702646233,-3.16511148342155,0.159806562813226,5.16630013153838e-88,4.34304927303259e-86,"down"
"ACOXL-AS1",4.50846564079143,-0.484622226103434,0.22571609108913,0.0265743112746733,0.0400428918519888,"stable"
"ACP1",2998.94945501182,-0.396504958909373,0.0946830296811551,2.35896113823157e-05,5.23150181570098e-05,"stable"
"ACP2",1614.23274647609,-0.368824095717651,0.0873176632895109,2.20123884110723e-05,4.90597247115265e-05,"stable"
"ACP3",470.03909950342,-4.98866911088859,0.213813014149634,5.21509771708554e-157,2.29129746113309e-154,"down"
"ACP4",1.78974679850502,2.02264606872321,0.406340177641556,9.6003336025928e-08,2.64341218245212e-07,"up"
"ACP5",3792.96734056051,-1.27569102170835,0.209263674771183,4.93503077344162e-10,1.6249593692076e-09,"stable"
"ACP6",531.532168200027,-0.649326488060596,0.0912390908888953,8.59985401884666e-13,3.43080693306259e-12,"stable"
"ACR",34.3074262164017,1.0700222565004,0.233547006020853,2.12988036465992e-06,5.20314668185805e-06,"stable"
"ACRBP",88.6271860694823,0.547534500722203,0.107184851303779,2.66223624296705e-07,7.06068714734975e-07,"stable"
"ACRP1",7.01557914814089,1.02762843679621,0.269995362345499,6.39776401345539e-05,0.000135287261911844,"stable"
"ACRV1",3.92331925445791,1.46000101656537,0.228076341217111,5.48008607131251e-11,1.92675953882807e-10,"stable"
"ACSBG2",45.0950196624919,-2.85653055966873,0.17437482691223,5.73606985180919e-61,1.97588938711877e-59,"down"
"ACSF2",5428.10857227911,-4.698313671154,0.203467447908728,1.28401514515261e-118,2.51256946806923e-116,"down"
"ACSF3",804.8759686791,-0.500837111463159,0.0979884146694767,2.73636777373502e-07,7.24821521774471e-07,"stable"
"ACSL1",10353.6825907135,-0.841901995389413,0.14638257999679,5.67714271684744e-09,1.72244879875582e-08,"stable"
"ACSL3",1804.34656816863,-0.743396836738871,0.0854768283103947,2.50231287929784e-18,1.38307281527011e-17,"stable"
"ACSL4",2665.56414845372,-1.37555666899127,0.114556733209582,1.40139009471905e-33,1.64728772062735e-32,"stable"
"ACSL5",842.190591170626,1.10828783858936,0.131513120700287,1.69431945854934e-17,8.95662268144835e-17,"stable"
"ACSL6",119.814963990988,-1.69181612384538,0.181592199152485,3.74887222414612e-21,2.43232762918547e-20,"stable"
"ACSM2A",15402.1983902118,-1.66049586102399,0.2108240404184,6.91616586937661e-16,3.32061522544956e-15,"stable"
"ACSM2B",20369.3531604743,-1.93550714174807,0.217119259680044,1.38163225608049e-19,8.31120865799287e-19,"stable"
"ACSM3",2160.15316727941,-1.54573248357967,0.162826690346855,9.91888832732551e-50,2.28007140760219e-48,"stable"
"ACSM4",3.69648685146238,1.62937576074961,0.309779490119255,4.22611589388092e-08,1.19996750036472e-07,"stable"
"ACSS1",3166.75222829667,-0.332749090509079,0.137959133353776,0.0146198172225962,0.0229668126455761,"stable"
"ACSS2",3409.27585835839,-1.38299120965645,0.145160279810496,6.76240905283802e-22,4.57893158489055e-21,"stable"
"ACSS3",1727.09675740814,-1.35132125317221,0.152313613466641,2.73047585854075e-19,1.61252500233274e-18,"stable"
"ACTA2",11317.4145273404,1.39616963130004,0.190162800729241,1.17185272918625e-13,4.93182046843142e-13,"stable"
"ACTB",85853.4048822069,0.768078533989873,0.118163974872939,3.77087944464183e-10,1.25226324512164e-09,"stable"
"ACTC1",82.6815003432199,0.955525784650687,0.328603302408441,0.00187136612486186,0.00334625630139529,"stable"
"ACTE1P",3.7027680572364,0.636347277125752,0.276338423849394,0.0153335071547123,0.0240215317279757,"stable"
"ACTG1P14",2.52612440642323,1.4100992391994,0.356195136559182,2.40730299290442e-05,5.33413811901917e-05,"stable"
"ACTG1P17",36.1699517367952,1.35095132293894,0.242551641735332,4.05449708063127e-06,9.66752191476344e-06,"stable"
"ACTG1P25",38.6310087566575,-3.71419096053592,0.184293793282746,5.41940009083691e-91,5.02773508028798e-89,"down"
"ACTG2",566.116386879592,2.23290852462983,0.307523127427447,1.69765982573067e-36,2.27193716677956e-35,"up"
"ACTL11P",1.9833789475522,0.689341589283701,0.312627967552717,0.0194434238703305,0.0299503584206202,"stable"
"ACTMAP",552.401427291312,0.673526572089516,0.155885782580836,1.16399952845664e-05,2.65838495681065e-05,"stable"
"ACTN1",3007.36601483061,1.47107450807954,0.137168124274378,2.35737106007775e-27,2.07380969040312e-26,"stable"
"ACTN1-DT",2.76852735595283,1.49098748461983,0.389085143676049,3.19832663490721e-05,6.98913607549261e-05,"stable"
"ACTN2",64.7982600072184,1.42535053186078,0.292874302322576,0.000102899665975167,0.000212837237688553,"stable"
"ACTN3",2.11174349172324,1.59221612187985,0.374710186191021,5.29091183678435e-06,1.24725828134602e-05,"stable"
"ACTN4",11633.8188766551,-0.212449901667986,0.0918612715349397,0.0184396827311161,0.0285382461834886,"stable"
"ACTN4P1",0.467686054009308,-2.12661586412427,0.588933449846613,0.000336212622203733,0.000655589274881605,"down"
"ACTR10",2037.00621602285,-0.563667222039155,0.100824927255102,1.95093659758062e-08,5.68508442138185e-08,"stable"
"ACTR3",5165.39827380204,0.260795736727446,0.0887083950304828,0.00317228034374406,0.00550732275288334,"stable"
"ACTR3B",245.896006308223,-0.524837887218861,0.0755603067955991,3.08752142825398e-12,1.189543745505e-11,"stable"
"ACTR3C",237.820978178876,-0.535781618705589,0.135422117978917,6.47693659920395e-05,0.000136899288053974,"stable"
"ACTR5",420.856310793523,0.602637774345532,0.110589771874983,3.96995247051933e-08,1.12998793825343e-07,"stable"
"ACTR6",872.132141460269,-0.391831146594735,0.103959738190036,0.000141943221542689,0.000289303269745563,"stable"
"ACTR8",678.641025322861,-1.00073532217808,0.0778643622441627,4.86279397532706e-38,6.99413344715663e-37,"stable"
"ACTRT3",72.7974922586449,-1.23618793805154,0.175268074843623,8.47901354218277e-13,3.38549913140034e-12,"stable"
