"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"ATP6V1G3",-9.07164454867165,-1.76078026740041,-49.3502925197367,9.45209997828221e-90,1.62717901126128e-85,193.653705580498,"down"
"HEPACAM2",-8.22534831450983,-1.47928677506143,-48.0766291647713,2.89495190030881e-88,2.49182984819081e-84,190.323775284961,"down"
"TMEM213",-9.2920656057247,1.07830745043458,-47.4740926907337,1.5028362832493e-87,8.62377553871224e-84,189.165561582959,"down"
"BSND",-9.04431203667498,-1.4519702513132,-46.3104102951876,3.81365229484689e-86,1.58875339011127e-82,185.603508470707,"down"
"CLDN8",-9.92341632249905,-0.243926649138939,-46.2426133176067,4.61444493206874e-86,1.58875339011127e-82,185.550342946685,"down"
"DMRT2",-8.2912801668318,-1.42944018963717,-44.5493599857293,5.84584540527852e-84,1.67727047753116e-80,180.675825172917,"down"
"SRARP",-6.12470527454526,-3.22067794965561,-43.9355670562014,3.51817763464302e-83,8.65220399719707e-80,178.359905927157,"down"
"RHCG",-9.33054126963653,0.611159806745943,-43.4323583993276,1.5575156464708e-82,3.35157898174935e-79,177.74961414003,"down"
"ATP6V0A4",-8.77624960780866,1.01612731166317,-42.3055482628247,4.6026491670937e-81,8.80384504572424e-78,174.485290029216,"down"
"TMEM52B",-7.40679259826442,2.57660293474055,-41.633255675458,3.60159313193762e-80,6.20014257663061e-77,172.62009686098,"down"
"PLA2G4F",-8.47723837521046,-1.45396294654381,-41.3660962625379,8.22200764464567e-80,1.28674419638705e-76,171.33107034991,"down"
"FOXI1",-8.85864007183997,-1.49129598356603,-40.9720979031122,2.80072613644494e-79,4.01787503657497e-76,170.135720048272,"down"
"PIK3C2G",-7.43933724215936,-1.55643041383672,-40.5872294981429,9.36354655148804e-79,1.23994964526051e-75,168.899106056857,"down"
"CA10",-7.83357405557731,-1.60648624971575,-40.342616894322,2.02665724266804e-78,2.32592696216869e-75,168.150373509106,"down"
"GATA3-AS1",-6.06371895188537,-2.89079220094921,-40.3541902561002,1.95378012937895e-78,2.32592696216869e-75,167.822310623372,"down"
"FGF9",-7.86320505204791,-0.691719548477775,-39.9554357018146,6.93573798235198e-78,7.46242058538684e-75,167.088408554209,"down"
"CLCNKB",-8.11048032260542,2.67740905477961,-39.1997958631103,7.88027366321894e-77,7.97993594778318e-74,164.975941775313,"down"
"HRG",-9.18645803657541,-1.03866674803006,-39.0507055681404,1.27877670333495e-76,1.22300783043951e-73,164.155888540305,"down"
"KNG1",-10.7527602322755,2.58374058529086,-38.6049710834575,5.48790124132948e-76,4.97232736155195e-73,162.974758534285,"down"
"KCNJ10",-6.98921190945413,1.23354486914168,-38.5864326428682,5.83241656873162e-76,5.02025256153574e-73,162.936225886,"down"
"GGT6",-8.38306886839104,0.821773505141217,-38.1683784931701,2.31716742151952e-75,1.89952557911707e-72,161.504987624155,"down"
"KCNJ1",-8.30297761987765,2.72677303181478,-37.7991289016656,7.918819379547e-75,5.68010315078757e-72,160.394030225723,"down"
"NUPR2",-5.98761007235712,-2.76068916694529,-37.9228888324229,5.23966256263645e-75,4.10003595526303e-72,160.140413939918,"down"
"PART1",-6.1683590287993,-2.81003234263149,-37.8195315244333,7.39705651659463e-75,5.53653599709463e-72,159.815614363484,"down"
"ATP6V1C2",-4.14514769033343,1.97324301977042,-37.4946550811432,2.19777471297344e-74,1.51338766735351e-71,159.403528136886,"down"
"ATP6V1B1",-7.08404529845704,2.11151390880088,-37.4804443771577,2.30540182968977e-74,1.52644201915805e-71,159.329956931068,"down"
"BRINP3",-5.6157782441301,-3.10720119192499,-37.0952925011794,8.47176534519373e-74,5.40153483027815e-71,157.331329411065,"down"
"SLC4A9",-7.74696532978117,-0.480980625663807,-36.5455691193496,5.53467217116264e-73,3.40283505094875e-70,155.985160710607,"down"
"AQP2",-10.9379557624024,2.30307133827014,-36.4254166839813,8.36721021152825e-73,4.9669490962572e-70,155.689062247761,"down"
"GCGR",-7.82044212850563,-1.74203734840295,-36.3932806128477,9.34691846032211e-73,5.3635733764815e-70,155.319359229948,"down"
"RALYL",-8.54299625561016,-1.35295940237576,-35.9591643349086,4.20406822199968e-72,2.33461401424918e-69,153.887103078336,"down"
"ERP27",-3.74658611410082,2.6353471261169,-35.8426122947029,6.31064792597533e-72,3.37674367295339e-69,153.785510250576,"down"
"RHBG",-8.35713994329514,-0.857362064949931,-35.8353341086405,6.47299106636433e-72,3.37674367295339e-69,153.506268902249,"down"
"SMIM5",-5.15483094565404,1.65801482115925,-35.6226435330594,1.36227965255631e-71,6.89754241728143e-69,152.988608764718,"down"
"FRMD7",-6.53220737695099,-2.82576709957658,-35.6035026793823,1.45688397948517e-71,7.16578791623922e-69,152.419066852373,"down"
"NDUFA4L2",7.61528119905975,7.86795540075941,35.2222349229401,5.58315158186685e-71,2.66983206893994e-68,151.610095824139,"up"
