"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","change"
"SPAG4",2576.23879304352,4.37892337773746,0.113843334677425,38.4644686502301,0,0,"up"
"MFSD4A",3220.35259971527,-5.28700997090991,0.128439350210073,-41.1634749184154,0,0,"down"
"NDUFA4L2",84514.3292927743,7.13346253954254,0.156749998019018,45.5085335227696,0,0,"up"
"GABRD",868.885192518093,5.94074298158065,0.155200021377228,38.2779778563376,0,0,"up"
"LINC00887",1696.04241006415,6.51232464590815,0.171539366805409,37.9640240440879,0,0,"up"
"PVT1",943.792221142839,4.72490679832683,0.121517739357549,38.8824448455582,0,0,"up"
"LINC02348",2220.09934121001,7.69814267058374,0.199975370405743,38.4954539899812,0,0,"up"
"AL109615.2",2423.21190580924,8.22432683725919,0.221709233615153,37.0951029109375,3.36955700836314e-301,1.36926160981097e-297,"up"
"COL23A1",11304.2304112077,5.90749578376083,0.161018522651273,36.6882994980338,1.12228470140279e-294,4.05381703976702e-291,"up"
"HILPDA",9647.84617535366,5.18325799231625,0.141560941461623,36.6150291090104,1.64914878185484e-293,5.36121777493191e-290,"up"
"EGLN3",29767.9449099241,4.50492854336197,0.1271133853737,35.4402373134658,4.10110474825691e-275,1.21202558419167e-271,"up"
"TTC21B-AS1",1202.32371342644,8.70105035088748,0.245547443300341,35.4353123532417,4.88380570792279e-275,1.32306366465718e-271,"up"
"FABP6",1262.52593659949,7.67777535812634,0.216859861746841,35.4043173147886,1.46528811798559e-274,3.6642347251995e-271,"up"
"FABP7",12000.9639617585,10.8981698910271,0.313380508278689,34.7761574288323,5.57860277254596e-265,1.29539141094783e-261,"up"
"AC019080.1",343.343398265996,-3.65138710502359,0.106905020076349,-34.1554316384381,1.11057196203447e-255,2.40690559425192e-252,"down"
"ANGPTL4",44759.0158341157,5.49170391357643,0.161715144519659,33.9591194744832,8.94698618865095e-253,1.81785983754284e-249,"up"
"SCARB1",11947.7537516727,4.36590269203451,0.128930657968036,33.8624091495514,2.38336786278218e-251,4.5577003441874e-248,"up"
"CDCA2",1169.30332148806,5.14556910123439,0.152046965223285,33.8419717465454,4.76343044432613e-251,8.60302001747768e-248,"up"
"NOL3",5432.59199195451,3.5235724854976,0.105224532300904,33.4862261532459,7.64801789350161e-246,1.30857586157813e-242,"up"
"SLC6A3",9382.44751270245,8.24329809252029,0.247412784243931,33.3179957442821,2.11905357924629e-243,3.44441564038588e-240,"up"
"STC2",7353.54990912607,4.5530446889392,0.136821662759163,33.2772208517419,8.2474026842595e-243,1.27673720886949e-239,"up"
"NPTX2",10775.2677162477,8.35228736463957,0.251119703368641,33.2601833014213,1.4544700618252e-242,2.14924396544888e-239,"up"
"ACP3",440.411333658267,-5.62610569558139,0.169420822110009,-33.2078762545978,8.28615981416418e-242,1.17119464955941e-238,"down"
"TNFAIP6",2807.67902417126,6.48428914889643,0.196510273559402,32.997201782106,8.90884011328734e-239,1.20673951351191e-235,"up"
"AP005432.2",59.980326737237,-6.59804300440182,0.200415297919819,-32.9218531363884,1.06994958862017e-237,1.39131964705812e-234,"down"
"MYOCOS",847.573186516855,6.46421996943315,0.196786544407832,32.848892127687,1.181270982434e-236,1.47699762953642e-233,"up"
"AC083855.2",256.563165858971,3.27116654632629,0.101655051968282,32.1790848854906,3.46250604314333e-227,4.16898551690913e-224,"up"
"PNCK",6606.16453949861,7.99310896652166,0.248607311844596,32.151544165033,8.40396089319165e-227,9.75729873845597e-224,"up"
"CD70",2970.85467078522,7.2564204993756,0.226373244514072,32.0551155016225,1.86304459498588e-225,2.08847299097917e-222,"up"
"SIGLEC8",458.341495026117,5.55101927976156,0.174881174102982,31.7416629218919,4.13840934340048e-221,4.48451831148688e-218,"up"
"CDKN2A",364.013233476399,5.26434104213378,0.166949270778142,31.5325788342588,3.10797216882571e-218,3.25926023343081e-215,"up"
"TREM2",1359.29193332839,4.5335176968317,0.144461149665445,31.3822623406417,3.53296783395546e-216,3.58916410356431e-213,"up"
"CA9",11031.047492678,6.21797612318563,0.198406691988845,31.3395483834549,1.35048096209606e-215,1.3303874423267e-212,"up"
"LINC00462",770.413353968293,7.67407773335806,0.245074404131711,31.313256725226,3.07997489527006e-215,2.94490893736278e-212,"up"
"NETO2",3855.08881480724,3.52963330942438,0.113270667419627,31.161053340918,3.59309718631419e-213,3.33737132656823e-210,"up"
"SEMA5B",8861.77632733146,4.1414044687186,0.133544230060951,31.0114818650602,3.77448856441798e-211,3.408468020574e-208,"up"
"DDB2",2885.52976336219,2.03721095870961,0.0664927916920168,30.6380722912887,3.810250833632e-206,3.34776876623088e-203,"up"
"HSF4",4100.15122876222,5.79523729375286,0.189922493199281,30.5136963828296,1.71512738601301e-204,1.46729147873413e-201,"up"
"SAP30",997.471940250879,2.54261785464472,0.084363903736034,30.1386937072081,1.50878579585624e-199,1.25766967788438e-196,"up"
"SLC16A3",11215.9400759746,3.16054343624084,0.10498388739307,30.1050333981961,4.16339761465351e-199,3.38369732636928e-196,"up"
"AC079760.2",400.677054719692,5.79744011671022,0.19285358764406,30.061354769351,1.55144660330117e-198,1.2301457957736e-195,"up"
"HIF1A-AS3",752.118558601115,5.40096597900009,0.180741090534558,29.882335903951,3.33843803077888e-196,2.58403052244263e-193,"up"
"FAM246C",209.375022895602,6.50163639902212,0.217947890333158,29.8311508731909,1.54164003490923e-195,1.16551571848521e-192,"up"
"RBP2",16.5095039621007,-4.28793449907233,0.144331695660708,-29.7088902021377,5.89474945048141e-194,4.35528204285683e-191,"down"
"FECH",2533.43975424982,-2.01587043087303,0.0679943079848316,-29.6476350832592,3.63817345411745e-193,2.62829735155343e-190,"down"
"VEGFA",84884.8646188657,3.55872302890275,0.120172046622959,29.6135676216639,9.99483306507612e-193,7.06352235027304e-190,"up"
"ENPP3",15413.1393998173,5.1885175212749,0.175854776279219,29.5045584263044,2.51629406426598e-191,1.74047241989836e-188,"up"
"GRIK3",1581.95417967209,5.41365458911166,0.183904217409717,29.4373596503808,1.82739131519214e-190,1.23763883886628e-187,"up"
"APOC1",2386.93023779601,5.65322171968532,0.193173231140039,29.2650368082681,2.89058436207509e-188,1.91775524544284e-185,"up"
"HK2",5355.36315268965,3.73782603395194,0.129219692110312,28.9261332611831,5.60318952462671e-184,3.6430817651218e-181,"up"
"KISS1R",521.517630716342,7.71182893025458,0.267882265130905,28.7881279728842,3.02035203593279e-182,1.92526714384586e-179,"up"
"FER1L4",1306.05883005588,5.71359682517702,0.198666230763991,28.7597786659807,6.8351464921146e-182,4.27314956369526e-179,"up"
"ST8SIA4",3228.58626992089,3.62846755398867,0.126203374627875,28.7509550730132,8.81195804699013e-182,5.40505554999249e-179,"up"
"DARS-AS1",299.543290060421,3.4113082907454,0.118771866963996,28.7215177966302,2.0553847131403e-181,1.23737965999033e-178,"up"
"LINC02048",129.651822288891,5.77883774182711,0.201291639626886,28.708781708663,2.9642503715112e-181,1.75208755140832e-178,"up"
"ADGRF3",90.5219627357022,-3.6224282590065,0.126581629140025,-28.6173300471537,4.08984071487453e-180,2.37422556785457e-177,"down"
"ESRRB",532.764202130477,-6.03438787401298,0.210976913356798,-28.6021241755859,6.32223043348088e-180,3.6057787572286e-177,"down"
"DOC2A",1562.74400884418,6.12218632011923,0.215077224422469,28.4650610335831,3.17274639570644e-178,1.77832435479346e-175,"up"
"LINC02747",1206.75705856279,7.33883705209976,0.259884291822517,28.2388635366684,1.95022298120648e-175,1.07457286264477e-172,"up"
"AL391845.2",59.4997851251046,5.75408102978231,0.204026788976873,28.2025760373779,5.43731678841613e-175,2.94602885791033e-172,"up"
"VIM",95572.2839735669,2.80165777587314,0.0993815912806749,28.190912821678,7.55767056968772e-175,4.02774282868817e-172,"up"
"TMEM238L",3.85397609432211,-5.93997752177914,0.210735729724355,-28.1868553071124,8.47468432588477e-175,4.44360504435787e-172,"down"
"LILRB1",839.46617611047,3.02967241367626,0.108730033870097,27.8641724447166,7.25420251620861e-171,3.74328364443533e-168,"up"
"LINC02188",833.302315456756,4.18834640286366,0.150585832554003,27.8136816181671,2.96363136396468e-170,1.50538581267387e-167,"up"
"COL5A3",2121.34704488593,3.62651484870799,0.131280353989361,27.6242007162921,5.69890044974212e-168,2.85023930339487e-165,"up"
"MYLK3",100.341169522483,-4.03936545867659,0.146239842413419,-27.6215112927798,6.13898807412382e-168,3.02382368638926e-165,"down"
"SAP30-DT",503.245074893396,3.00794237089135,0.109978628550378,27.3502444114723,1.07269197537273e-164,5.20479752647644e-162,"up"
"SLC16A1-AS1",298.334096329339,3.28965096717315,0.120483062553326,27.3038458473541,3.8182812686329e-164,1.82541920238216e-161,"up"
"AL031726.1",14.0822265700276,-5.48876113105129,0.201579469122381,-27.2287706429021,2.96532018362825e-163,1.39709556303726e-160,"down"
"KCNJ10",1078.20728884719,-6.19852131837866,0.228097381966294,-27.1748902374277,1.28662308399126e-162,5.97526140535312e-160,"down"
"AC019069.1",149.679194310172,3.58296595207299,0.131856396342073,27.1732434032078,1.34559008929169e-162,6.16109693137797e-160,"up"
