"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"AQP2",-14.8262731603927,-1.61329840250396,-72.6183614664675,4.44519231917745e-300,1.19184496461786e-295,677.42603079042,"down"
"PRR35",-8.90246675869138,-4.29098953677696,-69.1936786521195,8.55251795274553e-289,1.14655055674507e-284,650.958905379053,"down"
"AC016526.1",-5.99688436805608,-5.40582827306594,-66.24269006972,1.02162336341585e-278,9.13058853996859e-275,626.753042210168,"down"
"LINC01983",-6.76023479181833,-5.05640395001719,-65.8722264992803,1.98826543592694e-277,1.33273432170183e-273,624.133413056145,"down"
"FXYD4",-11.4508553875829,-2.54748340537307,-64.618026240998,5.05853277657265e-273,2.71258761610932e-269,615.218434947022,"down"
"LINC02437",-8.19752402338533,-4.74364035703295,-64.4035864758727,2.90861476684374e-272,1.29976298547691e-268,612.812104502511,"down"
"MUC15",-10.3611655691338,-3.13410881279078,-64.2488370669448,1.03054501690217e-271,3.9472818561687e-268,612.148794785318,"down"
"SLC9A4",-9.94743796641759,-2.94264327185467,-64.1361605618911,2.59241611379015e-271,8.6884826053677e-268,611.234434806131,"down"
"UMOD",-14.6032613901216,-0.440666171891049,-62.8367187294773,1.18100454308122e-266,3.51834375656596e-263,600.680850636031,"down"
"KNG1",-11.9954957672804,-1.06549890201479,-60.8138734082279,2.9307601499771e-259,7.85795411411859e-256,583.663010139579,"down"
"ATP12A",-8.63817189664008,-3.68626222872836,-60.4607410871295,5.97177128955063e-258,1.45559210741301e-254,580.380677875861,"down"
"PIK3C2G",-8.5014019023031,-3.14454829161429,-59.3713614157977,7.06995770614328e-254,1.57966421680928e-250,571.108021519259,"down"
"HRG",-9.39571164550072,-2.82484104426381,-58.4513182821713,2.14313853469865e-250,4.42014079941079e-247,563.190392385123,"down"
"TFAP2B",-8.79632240982051,-2.40828752360854,-58.4152600578988,2.93957564755974e-250,5.62970730445513e-247,562.886698967031,"down"
"CLDN8",-11.2314886764616,-2.72957601685735,-58.1973861786349,1.98956178056407e-249,3.55627536403226e-246,561.002170184062,"down"
"KCNJ1",-9.34640860339153,0.867187616229996,-58.021158606321,9.37728644235184e-249,1.57139877557711e-245,559.5327674129,"down"
"BSND",-10.2449235659508,-3.03009069580617,-57.1647896102434,1.83837756493475e-245,2.89944583947239e-242,551.862941448692,"down"
"AC073172.1",-6.63175410597866,-4.83509198534467,-57.1081298836554,3.04415214409782e-245,4.53443373819727e-242,550.631312630696,"down"
"HS6ST2",-8.05554287084522,-1.48907648241829,-56.7129539075403,1.03582198860613e-243,1.38862295792537e-240,547.876480660863,"down"
"SEMG2",-6.14110725423647,-5.4081006204294,-56.751481145524,7.33872131872951e-244,1.03560945261987e-240,547.248555701328,"down"
"AC007993.2",-5.94237709300735,-4.98452133099615,-56.2343965996276,7.58810862885452e-242,9.68820802651654e-239,542.700689973822,"down"
"TMEM207",-8.82144621232611,-4.67183891072928,-56.1450578777446,1.69616225264873e-241,2.06715919627354e-238,542.486915826012,"down"
"ESRRB",-6.59467259250447,-0.130143282326619,-55.7058774894241,8.95914191610965e-240,1.00088547106138e-236,538.847952170438,"down"
"UNCX",-6.052617494666,-5.30504545960065,-55.7360419176149,6.81781290613599e-240,7.94779128866601e-237,538.183655137767,"down"
"ACP3",-6.03387661639,0.315067531837412,-55.0333416554685,4.0580431279528e-237,4.35217009386682e-234,532.744953880126,"down"
"SLC12A1",-11.4537698994883,1.26493971708394,-54.6753155246667,1.0743593010356e-235,1.10791236843717e-232,529.495724587145,"down"
"ELF5",-8.76910834394598,-2.95069956445071,-54.1059666222106,2.02585884067004e-233,2.01175286059426e-230,524.159320526979,"down"
"GP2",-8.12368709233547,-4.02293963041567,-53.9280740724851,1.04910015482344e-232,1.00458833396878e-229,522.338122272058,"down"
"ERVE-1",-8.37473193889294,-4.22404159476665,-53.5544480265232,3.35671963400763e-231,3.1034609250694e-228,518.875660443016,"down"
"GABRA2",-8.97122504916349,-2.98474668003533,-53.0965558357863,2.39801545151168e-229,2.07405129954617e-226,514.806736865378,"down"
"AC090709.1",-6.0030920526308,-5.36028835567556,-53.1021731813874,2.27533482747206e-229,2.03354257980603e-226,514.107238769103,"down"
"C4orf54",-8.01702001358158,-4.21998918261546,-53.0283705985398,4.53744938723359e-229,3.80181540532834e-226,513.941935177339,"down"
"AP005432.2",-6.82998455158035,-3.38019434221692,-52.894043717704,1.59626925812649e-228,1.29694458632992e-225,512.697435738794,"down"
"TRPV6",-5.76268197777996,-1.22081548924803,-52.8178298091253,3.26181787367275e-228,2.5722312008504e-225,512.188332420667,"down"
"KCNJ10",-7.39671658464785,0.517128762292693,-52.2506411445888,6.79575593948011e-226,5.20593737855259e-223,506.941608290383,"down"
"CA10",-8.35468945967266,-3.40728098528663,-52.1654920827142,1.51961896234792e-225,1.13177843384646e-222,506.012980547339,"down"
"AC124017.1",-7.68513841881741,-4.12358621539884,-50.9592229592177,1.48676058138844e-220,1.07737904616721e-217,494.387498678513,"down"
"RALYL",-8.37978933196507,-3.53180450662955,-50.9319898319448,1.93090786921372e-220,1.36240794182522e-217,494.279543382613,"down"
"POU3F4",-6.77830000037698,-4.87014479211179,-50.3166758531818,7.25774727581438e-218,4.98960820408039e-215,487.97700740785,"down"
"NELL1",-9.15909612055807,-2.72220635517784,-50.1645534616386,3.16534112181917e-217,2.12172815395539e-214,486.966802741114,"down"
"TMEM213",-10.2924232901063,-0.561200520574227,-50.0935415564085,6.30097586235499e-217,4.12053084930395e-214,486.312186451048,"down"
"DUSP9",-8.86628541876842,-0.988435587298718,-49.9288219037944,3.11847930310353e-216,1.99077778749552e-213,484.711229313126,"down"
"GATA3-AS1",-6.87111968748925,-4.29456889579096,-49.6295965491111,5.74391161277121e-215,3.5815292595726e-212,481.450615133886,"down"
"AC112243.1",-7.66823827383946,-5.01331042357711,-48.8624425535488,1.05768229967376e-211,6.44513132246655e-209,473.941643521281,"down"
"LINC01976",-5.28706931346331,-5.20080508594069,-48.683178945588,6.19104088640854e-211,3.68875973880857e-208,471.86870887807,"down"
"Z98259.3",-5.43549193641209,-5.21281738343886,-48.5270561023235,2.89388689961789e-210,1.68675859896858e-207,470.350979769455,"down"
"RANBP3L",-6.28009067328848,0.601983866254266,-48.3319938222091,1.99542965021895e-209,1.13832893152491e-206,469.055993986059,"down"
"COL4A6",-6.02223020426715,-0.698745464903929,-47.8329907926123,2.84660169965179e-207,1.59006426606383e-204,464.08986572727,"down"
"FOXI1",-9.69945892201832,-2.95348709903755,-47.664580504694,1.52881352587506e-206,8.36541801138004e-204,462.403740396172,"down"
"CLDN16",-7.28344547802626,0.0567858767572021,-47.6366027076065,2.02198813244407e-206,1.06301070209981e-203,462.140849950314,"down"
"AC010329.1",-6.89626566837665,-4.30453652476571,-47.6620444811206,1.5680474129266e-206,8.40849744707762e-204,462.106866678825,"down"
"LINC02343",-6.98389187992319,-4.43910648416199,-47.5439848580643,5.10549067210129e-206,2.63246953654576e-203,460.921424855728,"down"
"LINC01571",-6.4976096203994,-4.77070923288506,-47.4120397300118,1.91376553936738e-205,9.68148710217323e-203,459.498428884087,"down"
"ATP6V1G3",-8.7709768632484,-3.98449344917076,-47.2618492291525,8.63409876142932e-205,4.28698992576746e-202,458.308640754179,"down"
"SCNN1G",-9.43199633095321,-0.646493713497045,-47.083428524988,5.18911331533973e-204,2.52964556747071e-201,456.597551333103,"down"
"IRX2",-5.8495031773695,-0.349600587562057,-46.9047634339007,3.13859013567686e-203,1.50271211996014e-200,454.796938538616,"down"
"PRDM16-DT",-7.42338694765086,-0.636595644736271,-46.8262700250971,6.92904306410765e-203,3.25932460762902e-200,454.008860070478,"down"
"HEPACAM2",-8.63145913043838,-2.78246755047744,-46.6792455448605,3.06043293065614e-202,1.41476427132332e-199,452.506978948361,"down"
"GGT6",-8.0893580529119,-0.550678097417867,-46.5028081832113,1.82588755302666e-201,8.29757577487303e-199,450.739897195642,"down"
"NR0B2",-8.25090498072041,-3.52204698545385,-46.3792381043496,6.39337829824849e-201,2.81015178578096e-198,449.428516186937,"down"
"FAM245A",-6.41963420508091,-4.004958024674,-46.3637159550901,7.48435693011522e-201,3.23662222597176e-198,449.081189436636,"down"
"LINC02149",-4.20902558929792,-5.54423084837162,-46.4075267638514,4.79802714733574e-201,2.1440783979061e-198,449.074923433642,"down"
"SFRP1",-7.22067376183847,2.81251522736008,-46.3081341841728,1.31605356582381e-200,5.600956858233e-198,448.736315562666,"down"
"AC087045.3",-7.55016414399186,-3.67379368752694,-46.2354007018197,2.75602269854219e-200,1.15460125927052e-197,447.918989627427,"down"
"AQP6",-8.58846933005034,-1.62583139636495,-46.0738402345317,1.42673966091595e-199,5.88519135207362e-197,446.38538636795,"down"
"AC025154.2",-6.43029985408766,-4.87282937902756,-46.0632294529267,1.58961179391589e-199,6.45767748764739e-197,445.914850405612,"down"
"MFSD4A",-5.18424145525031,3.76325881588589,-45.9997934016575,3.03447539844784e-199,1.2143336475102e-196,445.589239317398,"down"
"DMRT2",-8.572342371816,-2.36712747764412,-45.8651781234691,1.19855773262599e-198,4.72584263634823e-196,444.253613248025,"down"
"SIRLNT",-6.64737864269517,-4.82867251477249,-45.7451248563527,4.08809878037467e-198,1.58855223912182e-195,442.70719998398,"down"
"GPC5",-6.59104505909206,-2.14790980209235,-45.629916262972,1.32925860572682e-197,5.09144024810678e-195,441.822245261541,"down"
"LINC01606",-7.77578854532079,-3.31201902072325,-45.5571865833583,2.80060521218434e-197,1.05760319646601e-194,441.056908484363,"down"
"TYRP1",-7.77541301695505,-3.13298359830956,-45.5532143310187,2.91699956731368e-197,1.08625822776131e-194,441.026746966804,"down"
"NAT8L",-6.56376118617823,-0.0559263802203874,-45.4834921440339,5.96318127189454e-197,2.19020296249365e-194,440.355371241049,"down"
"NRK",-7.16289223374309,-0.615175043640694,-45.4799012648688,6.18698166266212e-197,2.24169395053104e-194,440.319245855275,"down"
"BMPR1B-DT",-5.31641541874249,-5.09956300794024,-45.4041580951642,1.34632329122401e-196,4.81301601123974e-194,439.064027503194,"down"
"FRMD7",-7.11965975983155,-4.25056530155062,-45.2664379606059,5.54513154243755e-196,1.95626403836626e-193,437.940862075478,"down"
"ATP6V0A4",-9.37590558793776,-0.378141315603767,-45.1268679846828,2.33332822402023e-195,8.12483069382213e-193,436.686647519202,"down"
"CLCNKB",-8.44228430188998,0.845493306199449,-45.0485257200601,5.23276384828589e-195,1.79872902949027e-192,435.871469529871,"down"
"BRINP3",-6.61820634652123,-4.2188740471708,-44.9071700495543,2.25138645600952e-194,7.64103464031989e-192,434.208962032354,"down"
"PLA2G4F",-8.6100793247528,-2.22687915040533,-44.7763285273316,8.70953837836904e-194,2.91900178751038e-191,433.075281555785,"down"
"SLC4A1",-8.79509416920374,0.256554782302722,-44.3859700279732,4.99354901505338e-192,1.65292637273594e-189,429.01890314162,"down"
"HELT",-4.79770993004761,-5.37677035456935,-44.128025759873,7.32620790884575e-191,2.39549129819478e-188,425.853406993385,"down"
"SLC26A7",-6.74335049251702,0.68634179418024,-43.8413462075312,1.46396519491864e-189,4.72913672363358e-187,423.34428456711,"down"
"RHCG",-9.22292086564659,-0.80676538258519,-43.708623196076,5.8775998180137e-189,1.87607388476885e-186,421.960816240353,"down"
"FAM3B",-5.96809820517738,-0.525781308756523,-43.6834476015947,7.65270777944691e-189,2.38586512770384e-186,421.704893782538,"down"
"LINC01762",-5.25792051245136,-1.95554280507703,-43.6594293891942,9.84448986177821e-189,3.03391335832181e-186,421.393540183142,"down"
"AL035467.2",-5.73977949594165,-5.02213346460579,-43.6860220702782,7.44891384231041e-189,2.3496503287062e-186,421.373765859765,"down"
"CLCNKA",-7.93776462785695,0.454866164344386,-43.4361813500846,1.02649518317881e-187,3.12754418765799e-185,419.09420450507,"down"
"AL035661.1",-7.70218609470835,-1.74429178834269,-43.3360199226675,2.9447065740743e-187,8.87117670382922e-185,418.058632323173,"down"
"LINC01618",-5.38713618242226,-4.41927526500412,-42.910736580809,2.62084274352415e-185,7.80778173770771e-183,413.285580466446,"down"
"AC107057.1",-5.73301056290006,-5.29431795134643,-42.8842578450229,3.46847604761058e-185,1.02194263503884e-182,412.938586726875,"down"
"FGF9",-8.10989089281525,-1.86295605296077,-42.7473670074344,1.47878536311651e-184,4.30969490824782e-182,411.846044796752,"down"
"HCRTR2",-4.70366589767951,-5.38888980311257,-42.4951007139076,2.15341761939894e-183,6.20832615175532e-181,408.742838315899,"down"
"AP000696.1",-6.06380383743567,-3.94617616760263,-42.37626837736,7.62562374581829e-183,2.17508748800936e-180,407.74044891441,"down"
"GCGR",-8.00153911628997,-2.9904150085991,-42.3485874129629,1.02401148482926e-182,2.890083782236e-180,407.60449323399,"down"
"SLC4A9",-6.79068066499195,-2.20047610581579,-42.244986393776,3.0892170517731e-182,8.62792579084797e-180,406.503376577098,"down"
"VGLL1",-7.22067106531262,-4.56155713439568,-42.2201204858462,4.02748128099718e-182,1.11324565057831e-179,406.097112358856,"down"
"PSKH2",-4.91264964683935,-5.3597809143738,-42.1827373839431,6.00156822656386e-182,1.64198007439419e-179,405.452132664105,"down"
"AL354863.1",-5.41265208760882,-4.84052006891076,-42.1065322377221,1.35403766179278e-181,3.66711694828161e-179,404.730831230886,"down"
"EHF",-7.19136453479375,0.782371039714298,-42.0559657322815,2.3242556935288e-181,6.23179436548941e-179,404.467883125437,"down"
"IRX1",-5.88107985707427,-1.51593499520693,-42.0215215902725,3.35893149744902e-181,8.91679913956467e-179,404.12114218683,"down"
"SERPINA5",-7.30082133342565,1.99800459624158,-41.8747450061282,1.61576870586535e-180,4.24725397467271e-178,402.507167721856,"down"
"SIM2",-6.76288832383928,-1.77723218260931,-41.7962309793601,3.74776655306014e-180,9.75583658452897e-178,401.716635247801,"down"
"CASR",-7.75070796539088,0.3791827284434,-41.7599250268309,5.5315747259657e-180,1.42608251492877e-177,401.302514694592,"down"
"AC104237.3",-6.43820572635994,-4.25772040753894,-41.7589111163134,5.59205685674314e-180,1.42794503279045e-177,401.162371182049,"down"
"ACOT12",-5.93127197958277,-3.85134990053802,-41.7004774585054,1.04676700499768e-179,2.64772801301865e-177,400.543303305762,"down"
"LINC02121",-5.7169469144668,-5.51080069382434,-41.6284410090145,2.26865212765107e-179,5.68477578005426e-177,399.59295783788,"down"
"ADH1C",-6.47335468162074,-1.26695795180848,-41.4350207512692,1.81599572553464e-178,4.50837753639211e-176,397.840966580977,"down"
"ADGRF1",-8.34333934808541,-0.376802482031849,-41.3033313598838,7.50444814171708e-178,1.84595654656622e-175,396.402434698725,"down"
"LINC01230",-7.60059219474805,-3.93156474326826,-41.0501404818112,1.15532143484394e-176,2.81604348282142e-174,393.641967612554,"down"
"SCNN1B",-6.70132793358334,0.832614348974652,-41.0267779298407,1.48744589562396e-176,3.59291886067295e-174,393.408593994981,"down"
"EDDM3A",-4.93796438926279,-5.01260931661042,-40.9915569137967,2.17739388562321e-176,5.21252543404727e-174,392.746228564966,"down"
"AL031726.1",-5.48140577179413,-4.30712890946105,-40.9766698818471,2.55804477871741e-176,6.06958377052843e-174,392.694376387192,"down"
"SLC12A3",-8.53577730487188,0.306691730174887,-40.8869245491431,6.76049778803255e-176,1.59002163765552e-173,391.893247330071,"down"
"AC092078.2",-6.34822668766579,-4.25609115751191,-40.7967129014801,1.79755732553562e-175,4.19096582715314e-173,390.814530910044,"down"
"TMPRSS2",-7.42899257051111,0.524133690348456,-40.7203150716369,4.11811517209443e-175,9.43717128155521e-173,390.089896043141,"down"
"MPPED2-AS1",-5.60452614502869,-4.6282749460828,-40.7294205508206,3.73055442288345e-175,8.6227263091682e-173,389.999467005102,"down"
"KCNE1B",-5.27545764586443,-4.74653102332053,-40.6572135260903,8.17138589075981e-175,1.85670507205976e-172,389.186769168814,"down"
"ERVMER34-1",-6.20969417244924,-1.45083103226,-40.4990358847408,4.56284701886923e-174,1.02805927957917e-171,387.721632880376,"down"
"AC092851.1",-4.51988126811625,-5.41505041634425,-40.496990305852,4.66556600573562e-174,1.0424429645482e-171,387.341436281302,"down"
"PLPPR1",-7.42640251523045,-1.65940066709453,-40.4005652090954,1.33325953450942e-173,2.95432682969145e-171,386.646814243422,"down"
"OVCH2",-6.57249079095935,-2.91076175029831,-40.3277576944717,2.94826880180866e-173,6.47942484541753e-171,385.833483656513,"down"
"PTGER1",-6.74345611903249,-2.51674319653411,-40.0914601497329,3.89148454889344e-172,8.48280355487244e-170,383.273800639925,"down"
"SMIM5",-4.9386519509539,0.764969112096607,-40.0668834014581,5.09136403147977e-172,1.10088429364545e-169,382.992217572959,"down"
"MCCD1",-7.50769303879109,-2.57265587367656,-40.0251055175522,8.04116090962593e-172,1.72479685047112e-169,382.555861671491,"down"
"PRR15",-4.84026198995022,0.53691583543512,-40.0128299944822,9.19723017192093e-172,1.95711218547257e-169,382.407918779347,"down"
"AC104237.2",-5.84806690826678,-4.64448571874238,-39.837219386559,6.29681384595152e-171,1.32937143966655e-168,380.319279865457,"down"
